,action,electricity_price,episode,gross_rate,losses,net_stored,new_charge,next_observation,next_state,observation,old_charge,reward,state,steps
15/11/2009 02:25,[ 2.  0.],50.0,500,2.000000000000001,0.01666666666666667,0.15000000000000013,1.2435293460070136,"[[  50.          100.          100.          100.          100.
     1.24352935]]",[[ 50.           1.24352935]],"[[  50.           50.          100.          100.          100.
     1.09352935]]",1.0935293460070135,-8.333333333333337,[[ 50.           1.09352935]],17
15/11/2009 02:30,[ 2.  0.],50.0,500,2.000000000000001,0.01666666666666667,0.15000000000000013,1.3935293460070137,"[[ 100.          100.          100.          100.          100.
     1.39352935]]",[[ 100.            1.39352935]],"[[  50.          100.          100.          100.          100.
     1.24352935]]",1.2435293460070136,-8.333333333333337,[[ 50.           1.24352935]],18
15/11/2009 02:35,[ 1.89473684  0.        ],100.0,500,1.8947368421052637,0.015789473684210527,0.14210526315789473,1.5356346091649085,"[[ 100.          100.          100.          100.          -50.
     1.53563461]]",[[ 100.            1.53563461]],"[[ 100.          100.          100.          100.          100.
     1.39352935]]",1.3935293460070137,-15.789473684210531,[[ 100.            1.39352935]],19
15/11/2009 02:40,[ 0.54044532  1.7555772 ],100.0,500,-1.215131877337904,0.0,-0.10126098977815867,1.4343736193867498,"[[ 100.          100.          100.          -50.          -50.
     1.43437362]]",[[ 100.            1.43437362]],"[[ 100.          100.          100.          100.          -50.
     1.53563461]]",1.5356346091649085,10.126098977815868,[[ 100.            1.53563461]],20
15/11/2009 02:45,[ 0.28225322  0.64447182],100.0,500,-0.36221860030769015,0.0,-0.03018488335897418,1.4041887360277756,"[[ 100.          100.          -50.          -50.          -50.
     1.40418874]]",[[ 100.            1.40418874]],"[[ 100.          100.          100.          -50.          -50.
     1.43437362]]",1.4343736193867498,3.018488335897418,[[ 100.            1.43437362]],21
15/11/2009 02:50,[ 0.1278501   0.50117381],100.0,500,-0.37332370790900615,0.0,-0.03111030899241718,1.3730784270353584,"[[ 100.          -50.          -50.          -50.          -50.
     1.37307843]]",[[ 100.            1.37307843]],"[[ 100.          100.          -50.          -50.          -50.
     1.40418874]]",1.4041887360277756,3.111030899241718,[[ 100.            1.40418874]],22
15/11/2009 02:55,[ 2.  0.],100.0,500,2.000000000000001,0.01666666666666667,0.15000000000000013,1.5230784270353586,[[-50.         -50.         -50.         -50.          50.           1.52307843]],[[-50.           1.52307843]],"[[ 100.          -50.          -50.          -50.          -50.
     1.37307843]]",1.3730784270353584,-16.666666666666675,[[ 100.            1.37307843]],23
15/11/2009 03:00,[ 0.52631579  0.        ],-50.0,500,0.5263157894736832,0.004385964912280692,0.03947368421052633,1.562552111245885,[[-50.         -50.         -50.          50.          50.           1.56255211]],[[-50.           1.56255211]],[[-50.         -50.         -50.         -50.          50.           1.52307843]],1.5230784270353586,2.1929824561403466,[[-50.           1.52307843]],24
15/11/2009 03:05,[ 2.  0.],-50.0,500,2.000000000000001,0.01666666666666667,0.15000000000000013,1.712552111245885,[[-50.         -50.          50.          50.          50.           1.71255211]],[[-50.           1.71255211]],[[-50.         -50.         -50.          50.          50.           1.56255211]],1.562552111245885,8.333333333333337,[[-50.           1.56255211]],25
15/11/2009 03:10,[ 2.  0.],-50.0,500,2.000000000000001,0.01666666666666667,0.15000000000000013,1.8625521112458852,[[-50.          50.          50.          50.          50.           1.86255211]],[[-50.           1.86255211]],[[-50.         -50.          50.          50.          50.           1.71255211]],1.712552111245885,8.333333333333337,[[-50.           1.71255211]],26
