index,Price [$/MWh]
8/02/17 16:40,2481.99
8/02/17 16:45,2481.99
8/02/17 16:50,2481.99
8/02/17 16:55,2481.99
8/02/17 17:00,11141.35
8/02/17 17:05,11141.35
8/02/17 17:10,11141.35
8/02/17 17:15,11141.35
8/02/17 17:20,11141.35
8/02/17 17:25,11141.35
8/02/17 17:30,13160.01
8/02/17 17:35,13160.01
8/02/17 17:40,13160.01
8/02/17 17:45,13160.01
8/02/17 17:50,13160.01
8/02/17 17:55,13160.01
8/02/17 18:00,13440.01
8/02/17 18:05,13440.01
8/02/17 18:10,13440.01
8/02/17 18:15,13440.01
8/02/17 18:20,13440.01
8/02/17 18:25,13440.01
8/02/17 18:30,9387.38
8/02/17 18:35,9387.38
8/02/17 18:40,9387.38
8/02/17 18:45,9387.38
8/02/17 18:50,9387.38
8/02/17 18:55,9387.38
8/02/17 19:00,13400.01
8/02/17 19:05,13400.01
8/02/17 19:10,13400.01
8/02/17 19:15,13400.01
8/02/17 19:20,13400.01
8/02/17 19:25,13400.01
8/02/17 19:30,240.59
8/02/17 19:35,240.59
8/02/17 19:40,240.59
8/02/17 19:45,240.59
8/02/17 19:50,240.59
8/02/17 19:55,240.59
8/02/17 20:00,230.12
8/02/17 20:05,230.12
8/02/17 20:10,230.12
8/02/17 20:15,230.12
8/02/17 20:20,230.12
8/02/17 20:25,230.12
8/02/17 20:30,231.88
8/02/17 20:35,231.88
8/02/17 20:40,231.88
8/02/17 20:45,231.88
8/02/17 20:50,231.88
8/02/17 20:55,231.88
8/02/17 21:00,185.36
8/02/17 21:05,185.36
8/02/17 21:10,185.36
8/02/17 21:15,185.36
8/02/17 21:20,185.36
8/02/17 21:25,185.36
8/02/17 21:30,237.71
8/02/17 21:35,237.71
8/02/17 21:40,237.71
8/02/17 21:45,237.71
8/02/17 21:50,237.71
8/02/17 21:55,237.71
8/02/17 22:00,150.22
8/02/17 22:05,150.22
8/02/17 22:10,150.22
8/02/17 22:15,150.22
8/02/17 22:20,150.22
8/02/17 22:25,150.22
8/02/17 22:30,143.04
8/02/17 22:35,143.04
8/02/17 22:40,143.04
8/02/17 22:45,143.04
8/02/17 22:50,143.04
8/02/17 22:55,143.04
8/02/17 23:00,132.08
8/02/17 23:05,132.08
8/02/17 23:10,132.08
8/02/17 23:15,132.08
8/02/17 23:20,132.08
8/02/17 23:25,132.08
8/02/17 23:30,143.98
8/02/17 23:35,143.98
8/02/17 23:40,143.98
8/02/17 23:45,143.98
8/02/17 23:50,143.98
8/02/17 23:55,143.98
9/02/17 0:00,125.35
9/02/17 0:05,125.35
9/02/17 0:10,125.35
9/02/17 0:15,125.35
9/02/17 0:20,125.35
9/02/17 0:25,125.35
9/02/17 0:30,120.05
9/02/17 0:35,120.05
9/02/17 0:40,120.05
9/02/17 0:45,120.05
9/02/17 0:50,120.05
9/02/17 0:55,120.05
9/02/17 1:00,91.55
9/02/17 1:05,91.55
9/02/17 1:10,91.55
9/02/17 1:15,91.55
9/02/17 1:20,91.55
9/02/17 1:25,91.55
9/02/17 1:30,111.99
9/02/17 1:35,111.99
9/02/17 1:40,111.99
9/02/17 1:45,111.99
9/02/17 1:50,111.99
9/02/17 1:55,111.99
9/02/17 2:00,107.97
9/02/17 2:05,107.97
9/02/17 2:10,107.97
9/02/17 2:15,107.97
9/02/17 2:20,107.97
9/02/17 2:25,107.97
