index,C_forecast_electricity_price_hh_0 [$/MWh],C_forecast_electricity_price_hh_1 [$/MWh],C_forecast_electricity_price_hh_2 [$/MWh],C_forecast_electricity_price_hh_3 [$/MWh],C_demand [MW]
2017-02-08 07:20:00,71.5,95.27,115.93,110.33,107.67210047431465
2017-02-08 07:25:00,71.5,95.27,115.93,110.33,161.518637744176
2017-02-08 07:30:00,95.27,115.93,110.33,125.77,0.0
2017-02-08 07:35:00,95.27,115.93,110.33,125.77,1301.2784052901911
2017-02-08 07:40:00,95.27,115.93,110.33,125.77,1958.206789425873
2017-02-08 07:45:00,95.27,115.93,110.33,125.77,80.19793521165512
2017-02-08 07:50:00,95.27,115.93,110.33,125.77,27.0677608416547
2017-02-08 07:55:00,95.27,115.93,110.33,125.77,0.0
2017-02-08 08:00:00,115.93,110.33,125.77,122.39,0.0
2017-02-08 08:05:00,115.93,110.33,125.77,122.39,14.290137747621081
2017-02-08 08:10:00,115.93,110.33,125.77,122.39,371.6306960728402
2017-02-08 08:15:00,115.93,110.33,125.77,122.39,274.09364938665567
2017-02-08 08:20:00,115.93,110.33,125.77,122.39,205.50379284750016
2017-02-08 08:25:00,115.93,110.33,125.77,122.39,0.0
2017-02-08 08:30:00,110.33,125.77,122.39,115.84,0.0
2017-02-08 08:35:00,110.33,125.77,122.39,115.84,0.0
2017-02-08 08:40:00,110.33,125.77,122.39,115.84,64.10032826677451
2017-02-08 08:45:00,110.33,125.77,122.39,115.84,161.7930419049674
2017-02-08 08:50:00,110.33,125.77,122.39,115.84,0.0
2017-02-08 08:55:00,110.33,125.77,122.39,115.84,0.0
2017-02-08 09:00:00,125.77,122.39,115.84,118.39,80.08500177124907
2017-02-08 09:05:00,125.77,122.39,115.84,118.39,0.0
2017-02-08 09:10:00,125.77,122.39,115.84,118.39,0.0
2017-02-08 09:15:00,125.77,122.39,115.84,118.39,0.0
2017-02-08 09:20:00,125.77,122.39,115.84,118.39,0.0
2017-02-08 09:25:00,125.77,122.39,115.84,118.39,487.1874397066653
2017-02-08 09:30:00,122.39,115.84,118.39,130.28,15.483532610703774
2017-02-08 09:35:00,122.39,115.84,118.39,130.28,217.1714845857321
2017-02-08 09:40:00,122.39,115.84,118.39,130.28,0.0
2017-02-08 09:45:00,122.39,115.84,118.39,130.28,85.81398485418967
2017-02-08 09:50:00,122.39,115.84,118.39,130.28,0.0
2017-02-08 09:55:00,122.39,115.84,118.39,130.28,0.0
2017-02-08 10:00:00,115.84,118.39,130.28,152.0,0.0
2017-02-08 10:05:00,115.84,118.39,130.28,152.0,464.0321477991918
2017-02-08 10:10:00,115.84,118.39,130.28,152.0,44.450950102560846
2017-02-08 10:15:00,115.84,118.39,130.28,152.0,0.0
2017-02-08 10:20:00,115.84,118.39,130.28,152.0,129.0488546305677
2017-02-08 10:25:00,115.84,118.39,130.28,152.0,57.503670285092475
2017-02-08 10:30:00,118.39,130.28,152.0,163.67,0.0
2017-02-08 10:35:00,118.39,130.28,152.0,163.67,170.59512643311007
2017-02-08 10:40:00,118.39,130.28,152.0,163.67,0.0
2017-02-08 10:45:00,118.39,130.28,152.0,163.67,185.94615887235625
2017-02-08 10:50:00,118.39,130.28,152.0,163.67,98.1253527105896
2017-02-08 10:55:00,118.39,130.28,152.0,163.67,28.374214871638994
2017-02-08 11:00:00,130.28,152.0,163.67,185.01,321.72046112834283
2017-02-08 11:05:00,130.28,152.0,163.67,185.01,231.33951320551984
2017-02-08 11:10:00,130.28,152.0,163.67,185.01,0.0
2017-02-08 11:15:00,130.28,152.0,163.67,185.01,502.480291841537
2017-02-08 11:20:00,130.28,152.0,163.67,185.01,774.2618137203103
2017-02-08 11:25:00,130.28,152.0,163.67,185.01,530.3620296679012
2017-02-08 11:30:00,152.0,163.67,185.01,245.97,549.265464925809
2017-02-08 11:35:00,152.0,163.67,185.01,245.97,0.0
2017-02-08 11:40:00,152.0,163.67,185.01,245.97,0.0
2017-02-08 11:45:00,152.0,163.67,185.01,245.97,391.50504196236443
2017-02-08 11:50:00,152.0,163.67,185.01,245.97,740.3073261587073
2017-02-08 11:55:00,152.0,163.67,185.01,245.97,470.04813146683716
2017-02-08 12:00:00,163.67,185.01,245.97,375.65,1523.3260340569802
2017-02-08 12:05:00,163.67,185.01,245.97,375.65,0.0
2017-02-08 12:10:00,163.67,185.01,245.97,375.65,511.2402451831103
2017-02-08 12:15:00,163.67,185.01,245.97,375.65,1354.957457683806
2017-02-08 12:20:00,163.67,185.01,245.97,375.65,300.99570053819343
2017-02-08 12:25:00,163.67,185.01,245.97,375.65,84.668040660944
2017-02-08 12:30:00,185.01,245.97,375.65,220.48,771.4851629129178
2017-02-08 12:35:00,185.01,245.97,375.65,220.48,457.53950464763716
2017-02-08 12:40:00,185.01,245.97,375.65,220.48,0.0
2017-02-08 12:45:00,185.01,245.97,375.65,220.48,951.5666320830936
2017-02-08 12:50:00,185.01,245.97,375.65,220.48,0.0
2017-02-08 12:55:00,185.01,245.97,375.65,220.48,11.779888034837773
2017-02-08 13:00:00,245.97,375.65,220.48,308.33,0.0
2017-02-08 13:05:00,245.97,375.65,220.48,308.33,0.0
2017-02-08 13:10:00,245.97,375.65,220.48,308.33,981.5484449155846
2017-02-08 13:15:00,245.97,375.65,220.48,308.33,720.1237147402933
2017-02-08 13:20:00,245.97,375.65,220.48,308.33,0.0
