,BAU_cost,RL_cost,action,electricity_demand,electricity_price,episode,net_stored,new_charge,next_observation,next_state,observation,old_charge,rate,reward,state,steps
190,40.29166666666667,40.29166666666667,2,10.0,48.35,1,0,4,[ 45.99  10.     9.    17.     1.     0.     3.     4.  ],[ 45.99  10.     9.    17.     1.     0.     3.     4.  ],[ 48.35  10.     9.    17.     0.    55.     3.     4.  ],4,0.0,-40.29166666666667,[ 48.35  10.     9.    17.     0.    55.     3.     4.  ],191
191,38.325,38.325,2,10.0,45.99,1,0,4,[ 45.99  10.     9.    17.     1.     5.     3.     4.  ],[ 45.99  10.     9.    17.     1.     5.     3.     4.  ],[ 45.99  10.     9.    17.     1.     0.     3.     4.  ],4,0.0,-38.325,[ 45.99  10.     9.    17.     1.     0.     3.     4.  ],192
192,38.325,38.325,2,10.0,45.99,1,0,4,[ 45.99  10.     9.    17.     1.    10.     3.     4.  ],[ 45.99  10.     9.    17.     1.    10.     3.     4.  ],[ 45.99  10.     9.    17.     1.     5.     3.     4.  ],4,0.0,-38.325,[ 45.99  10.     9.    17.     1.     5.     3.     4.  ],193
193,38.325,38.325,2,10.0,45.99,1,0,4,[ 45.99  10.     9.    17.     1.    15.     3.     4.  ],[ 45.99  10.     9.    17.     1.    15.     3.     4.  ],[ 45.99  10.     9.    17.     1.    10.     3.     4.  ],4,0.0,-38.325,[ 45.99  10.     9.    17.     1.    10.     3.     4.  ],194
194,38.325,38.325,2,10.0,45.99,1,0,4,[ 45.99  10.     9.    17.     1.    20.     3.     4.  ],[ 45.99  10.     9.    17.     1.    20.     3.     4.  ],[ 45.99  10.     9.    17.     1.    15.     3.     4.  ],4,0.0,-38.325,[ 45.99  10.     9.    17.     1.    15.     3.     4.  ],195
195,38.325,38.325,2,10.0,45.99,1,0,4,[ 45.99  10.     9.    17.     1.    25.     3.     4.  ],[ 45.99  10.     9.    17.     1.    25.     3.     4.  ],[ 45.99  10.     9.    17.     1.    20.     3.     4.  ],4,0.0,-38.325,[ 45.99  10.     9.    17.     1.    20.     3.     4.  ],196
196,38.325,38.325,2,10.0,45.99,1,0,4,[ 45.92  10.     9.    17.     1.    30.     3.     4.  ],[ 45.92  10.     9.    17.     1.    30.     3.     4.  ],[ 45.99  10.     9.    17.     1.    25.     3.     4.  ],4,0.0,-38.325,[ 45.99  10.     9.    17.     1.    25.     3.     4.  ],197
197,38.26666666666667,38.26666666666667,2,10.0,45.92,1,0,4,[ 45.92  10.     9.    17.     1.    35.     3.     4.  ],[ 45.92  10.     9.    17.     1.    35.     3.     4.  ],[ 45.92  10.     9.    17.     1.    30.     3.     4.  ],4,0.0,-38.26666666666667,[ 45.92  10.     9.    17.     1.    30.     3.     4.  ],198
198,38.26666666666667,38.26666666666667,2,10.0,45.92,1,0,4,[ 45.92  10.     9.    17.     1.    40.     3.     4.  ],[ 45.92  10.     9.    17.     1.    40.     3.     4.  ],[ 45.92  10.     9.    17.     1.    35.     3.     4.  ],4,0.0,-38.26666666666667,[ 45.92  10.     9.    17.     1.    35.     3.     4.  ],199
199,38.26666666666667,38.26666666666667,2,10.0,45.92,1,0,4,[ 45.92  10.     9.    17.     1.    45.     3.     4.  ],[ 45.92  10.     9.    17.     1.    45.     3.     4.  ],[ 45.92  10.     9.    17.     1.    40.     3.     4.  ],4,0.0,-38.26666666666667,[ 45.92  10.     9.    17.     1.    40.     3.     4.  ],200
200,38.26666666666667,38.26666666666667,2,10.0,45.92,1,0,4,[ 45.92  10.     9.    17.     1.    50.     3.     4.  ],[ 45.92  10.     9.    17.     1.    50.     3.     4.  ],[ 45.92  10.     9.    17.     1.    45.     3.     4.  ],4,0.0,-38.26666666666667,[ 45.92  10.     9.    17.     1.    45.     3.     4.  ],201
201,38.26666666666667,38.26666666666667,2,10.0,45.92,1,0,4,[ 45.92  10.     9.    17.     1.    55.     3.     4.  ],[ 45.92  10.     9.    17.     1.    55.     3.     4.  ],[ 45.92  10.     9.    17.     1.    50.     3.     4.  ],4,0.0,-38.26666666666667,[ 45.92  10.     9.    17.     1.    50.     3.     4.  ],202
202,38.26666666666667,38.26666666666667,2,10.0,45.92,1,0,4,[ 48.11  10.     9.    17.     2.     0.     3.     4.  ],[ 48.11  10.     9.    17.     2.     0.     3.     4.  ],[ 45.92  10.     9.    17.     1.    55.     3.     4.  ],4,0.0,-38.26666666666667,[ 45.92  10.     9.    17.     1.    55.     3.     4.  ],203
203,40.09166666666667,40.09166666666667,2,10.0,48.11,1,0,4,[ 48.11  10.     9.    17.     2.     5.     3.     4.  ],[ 48.11  10.     9.    17.     2.     5.     3.     4.  ],[ 48.11  10.     9.    17.     2.     0.     3.     4.  ],4,0.0,-40.09166666666667,[ 48.11  10.     9.    17.     2.     0.     3.     4.  ],204
204,40.09166666666667,40.09166666666667,2,10.0,48.11,1,0,4,[ 48.11  10.     9.    17.     2.    10.     3.     4.  ],[ 48.11  10.     9.    17.     2.    10.     3.     4.  ],[ 48.11  10.     9.    17.     2.     5.     3.     4.  ],4,0.0,-40.09166666666667,[ 48.11  10.     9.    17.     2.     5.     3.     4.  ],205
205,40.09166666666667,40.09166666666667,2,10.0,48.11,1,0,4,[ 48.11  10.     9.    17.     2.    15.     3.     4.  ],[ 48.11  10.     9.    17.     2.    15.     3.     4.  ],[ 48.11  10.     9.    17.     2.    10.     3.     4.  ],4,0.0,-40.09166666666667,[ 48.11  10.     9.    17.     2.    10.     3.     4.  ],206
