episode,action,next_observation,observation,reward,step
2,[[ 1.53441584  0.57601413]],[[ 100.            0.14212909]],[[  1.00000000e+02   7.02489659e-02]],-7.986680948042618,6
2,[[ 1.03331311  1.4524911 ]],[[ 100.            0.10719759]],[[ 100.            0.14212909]],3.493149971059248,7
2,[[ 0.80489777  1.35675712]],[[  1.00000000e+02   6.12093152e-02]],[[ 100.            0.10719759]],4.59882795038137,8
2,[[ 1.46718971  0.54884115]],[[-50.           0.13008546]],[[  1.00000000e+02   6.12093152e-02]],-7.652904663136876,9
2,[[ 0.58915841  0.95600152]],[[-50.          0.0995152]],[[-50.           0.13008546]],-1.5285129508348947,10
2,[[ 0.79898147  0.5706065 ]],[[-50.           0.11664332]],[[-50.          0.0995152]],0.9515624009399793,11
2,[[ 1.70723226  1.12806154]],[[-50.           0.16008113]],[[-50.           0.11664332]],2.4132113319371373,12
2,[[ 0.04201806  0.75283284]],[[ 50.           0.10084656]],[[-50.           0.16008113]],-2.961728248506827,13
2,[[ 1.62366327  1.01685241]],[[ 50.           0.14635737]],[[ 50.           0.10084656]],-2.5283785675498036,14
2,[[ 0.18117619  0.82953046]],[[ 50.           0.09232785]],[[ 50.           0.14635737]],2.701476099558368,15
2,[[ 1.30202829  0.74221821]],[[ 50.           0.13431361]],[[ 50.           0.09232785]],-2.332542032907066,16
2,[[ 0.6673887   1.61223482]],[[  1.00000000e+02   5.55764318e-02]],[[ 50.           0.13431361]],3.936858868161472,17
2,[[ 1.35441697  0.93625933]],[[  1.00000000e+02   8.69382545e-02]],[[  1.00000000e+02   5.55764318e-02]],-3.4846469672028175,18
2,[[ 1.4954583   1.11506862]],[[ 100.            0.11546748]],[[  1.00000000e+02   8.69382545e-02]],-3.1699140460697897,19
2,[[ 0.21163895  0.50217208]],[[  1.00000000e+02   9.12563865e-02]],[[ 100.            0.11546748]],2.421109441744883,20
2,[[ 0.13126087  1.39892096]],[[ 100.    0.]],[[  1.00000000e+02   9.12563865e-02]],9.12563865350398,21
2,[[ 1.43978983  1.76238371]],[[-50.   0.]],[[ 100.    0.]],-0.0,22
2,[[ 1.10266275  0.25062727]],[[-50.           0.06390266]],[[-50.   0.]],3.5501478430687525,23
2,[[ 0.23527251  1.8297398 ]],[[-50.   0.]],[[-50.           0.06390266]],-3.1951330587618774,24
2,[[ 0.05009251  0.65500257]],[[-50.   0.]],[[-50.   0.]],0.0,25
2,[[ 1.9842004   0.67503849]],[[ 50.           0.09818714]],[[-50.   0.]],5.454841298338767,26
2,[[ 1.04361492  1.16813408]],[[ 50.           0.08781055]],[[ 50.           0.09818714]],0.5188298528808526,27
2,[[ 0.27571679  1.82136227]],[[ 50.   0.]],[[ 50.           0.08781055]],4.390527315624038,28
2,[[ 1.37754967  0.34208196]],[[ 50.           0.07766008]],[[ 50.   0.]],-4.314448769290552,29
2,[[ 0.76390782  1.81892646]],[[ 100.    0.]],[[ 50.           0.07766008]],3.8830038923614967,30
2,[[ 0.08739912  0.71564738]],[[ 100.    0.]],[[ 100.    0.]],-0.0,31
2,[[ 0.83366824  0.77312131]],[[  1.00000000e+02   4.54101959e-03]],[[ 100.    0.]],-0.5045577319317041,32
2,[[ 1.67502431  1.6084264 ]],[[  1.00000000e+02   9.53586276e-03]],[[  1.00000000e+02   4.54101959e-03]],-0.5549825744130692,33
2,[[ 1.95437946  1.70962791]],[[  1.00000000e+02   2.78922284e-02]],[[  1.00000000e+02   9.53586276e-03]],-2.039596187537633,34
2,[[ 1.65939326  1.3664732 ]],[[ -5.00000000e+01   4.98612330e-02]],[[  1.00000000e+02   2.78922284e-02]],-2.4410005091754177,35
2,[[ 1.11803884  1.81479994]],[[-50.   0.]],[[ -5.00000000e+01   4.98612330e-02]],-2.4930616513760206,36
2,[[ 0.36801962  1.31561614]],[[-50.   0.]],[[-50.   0.]],0.0,37
2,[[ 1.34935014  1.75137068]],[[-50.   0.]],[[-50.   0.]],0.0,38
2,[[ 1.87367139  0.95454465]],[[ 50.           0.06893451]],[[-50.   0.]],3.8296947348241983,39
2,[[ 0.85875769  0.6489138 ]],[[ 50.          0.0846728]],[[ 50.           0.06893451]],-0.8743495465389849,40
2,[[ 1.02135735  1.43430485]],[[ 50.           0.05026051]],[[ 50.          0.0846728]],1.7206145709933385,41
2,[[ 1.48289951  0.3479707 ]],[[ 50.           0.13538017]],[[ 50.           0.05026051]],-4.728870023437071,42
2,[[ 0.79008985  0.01015093]],[[ 100.            0.19387559]],[[ 50.           0.13538017]],-3.2497455061002904,43
2,[[ 1.50408884  0.30420132]],[[ 100.            0.28386715]],[[ 100.            0.19387559]],-9.99906264431331,44
2,[[ 0.3905997  1.3271617]],[[ 100.            0.20582032]],[[ 100.            0.28386715]],7.804683339848312,45
2,[[ 0.67849195  0.34356769]],[[ 100.            0.23093964]],[[ 100.            0.20582032]],-2.7910355050094067,46
2,[[ 1.67414269  1.80553097]],Terminal,[[ 100.            0.23093964]],1.0949024004864167,47
3,[[ 0.37159547  0.02931458]],[[  5.00000000e+01   2.56710664e-02]],[[ 50.   0.]],-1.4261703542096835,0
3,[[ 1.2033199   1.64471605]],[[ 50.   0.]],[[  5.00000000e+01   2.56710664e-02]],1.2835533187887151,1
3,[[ 0.39855952  1.29554965]],[[ 50.   0.]],[[ 50.   0.]],-0.0,2
3,[[ 1.93133804  1.42017888]],[[  5.00000000e+01   3.83369368e-02]],[[ 50.   0.]],-2.1298298228916113,3
3,[[ 0.56972571  1.65707228]],[[ 100.    0.]],[[  5.00000000e+01   3.83369368e-02]],1.91684684060245,4
3,[[ 0.3025561   0.71376881]],[[ 100.    0.]],[[ 100.    0.]],-0.0,5
3,[[ 1.79346748  0.63648418]],[[  1.00000000e+02   8.67737476e-02]],[[ 100.    0.]],-9.64152751443471,6
3,[[ 0.10917581  1.35441768]],[[  1.00000000e+02   1.38777878e-17]],[[  1.00000000e+02   8.67737476e-02]],8.677374762991237,7
3,[[ 1.6691741   1.65449586]],[[  1.00000000e+02   1.10086774e-03]],[[  1.00000000e+02   1.38777878e-17]],-0.12231863786632731,8
3,[[ 0.59164255  0.09279069]],[[ -5.00000000e+01   3.85147574e-02]],[[  1.00000000e+02   1.10086774e-03]],-4.157098848655984,9
3,[[ 0.9085382   1.81579003]],[[-50.   0.]],[[ -5.00000000e+01   3.85147574e-02]],-1.9257378689350408,10
3,[[ 0.10802111  1.82348617]],[[-50.   0.]],[[-50.   0.]],0.0,11
3,[[ 0.64143226  1.25537871]],[[-50.   0.]],[[-50.   0.]],0.0,12
3,[[ 0.63982028  0.68999182]],[[ 50.   0.]],[[-50.   0.]],0.0,13
3,[[ 0.1649177  1.9014818]],[[ 50.   0.]],[[ 50.   0.]],-0.0,14
3,[[ 0.06442856  0.21379501]],[[ 50.   0.]],[[ 50.   0.]],-0.0,15
3,[[ 0.73453801  1.63946001]],[[ 50.   0.]],[[ 50.   0.]],-0.0,16
3,[[ 0.72145146  1.5682304 ]],[[ 100.    0.]],[[ 50.   0.]],-0.0,17
3,[[ 1.73276162  1.65067965]],[[  1.00000000e+02   6.15614759e-03]],[[ 100.    0.]],-0.6840163986112351,18
3,[[ 0.85847709  1.14728027]],[[ 100.    0.]],[[  1.00000000e+02   6.15614759e-03]],0.6156147587501115,19
3,[[ 1.99833757  0.38768483]],[[ 100.            0.12079895]],[[ 100.    0.]],-13.422106098917155,20
3,[[ 1.92584125  1.18510436]],[[ 100.            0.17635422]],[[ 100.            0.12079895]],-6.1728074594544635,21
3,[[ 1.03476724  1.01066172]],[[-50.           0.17816214]],[[ 100.            0.17635422]],-0.20087935308593374,22
3,[[ 1.77473638  1.49523932]],[[-50.           0.19912442]],[[-50.           0.17816214]],1.164571086283399,23
3,[[ 1.55207731  0.13704828]],[[-50.           0.30525159]],[[-50.           0.19912442]],5.895954280640766,24
3,[[ 0.16675275  0.62433961]],[[-50.           0.26711935]],[[-50.           0.30525159]],-1.9066119161569028,25
3,[[ 1.95044365  0.46147907]],[[ 50.          0.3787917]],[[-50.           0.26711935]],6.2040191018923,26
3,[[ 0.05928121  0.44693802]],[[ 50.           0.34648696]],[[ 50.          0.3787917]],1.6152366886198672,27
3,[[ 1.61180066  1.0532422 ]],[[ 50.           0.38837885]],[[ 50.           0.34648696]],-2.3273269540342256,28
3,[[ 0.98851888  0.83398923]],[[ 50.           0.39996857]],[[ 50.           0.38837885]],-0.6438735194339185,29
3,[[ 0.9940235  0.7924134]],[[ 100.            0.41508933]],[[ 50.           0.39996857]],-0.8400420731710628,30
3,[[ 1.50387413  1.52954385]],[[ 100.            0.41295019]],[[ 100.            0.41508933]],0.21391440106887094,31
3,[[ 1.91240915  0.90003616]],[[ 100.            0.48887816]],[[ 100.            0.41295019]],-8.436441584287223,32
3,[[ 1.91212218  1.8957823 ]],[[ 100.            0.49010365]],[[ 100.            0.48887816]],-0.1361656332276695,33
3,[[ 1.80661362  0.10049608]],[[ 100.            0.61806247]],[[ 100.            0.49010365]],-14.217646190095955,34
3,[[ 1.14069355  1.36960143]],[[-50.           0.59898681]],[[ 100.            0.61806247]],1.9075656842899802,35
3,[[ 0.89155433  1.05869328]],[[-50.           0.58505856]],[[-50.           0.59898681]],-0.6964122909616233,36
3,[[ 1.83634537  1.39213685]],[[-50.          0.6183742]],[[-50.           0.58505856]],1.8508688331400958,37
3,[[ 0.24607733  1.2850084 ]],[[-50.           0.53179661]],[[-50.          0.6183742]],-4.328879422148474,38
