episode,reward,step,cum max reward,rolling mean,rolling std
1,-77.69067303811525,1128,-77.69067303811525,-77.69067303811525,
2,-27.813741294389693,1128,-27.813741294389693,-52.752207166252475,35.268316660766914
3,1.048997982829609,1128,1.048997982829609,-34.818472116558446,39.83445290875647
4,-63.76819691625778,1128,1.048997982829609,-42.05590331648328,35.60024438850394
5,-27.91154490089494,1128,1.048997982829609,-39.22703163336561,31.47293480736472
6,11.366053959416877,1128,11.366053959416877,-30.794850701235195,34.91484715624581
7,-29.95034260753142,1128,11.366053959416877,-30.67420668784894,31.874347231994676
8,-60.11541010638793,1128,11.366053959416877,-34.354357115166316,31.291898700975803
9,8.778430908796974,1128,11.366053959416877,-29.56182511250373,32.61135271254506
10,-40.951141599628876,1128,11.366053959416877,-30.700756761216248,30.95650619637471
11,-85.04060160178051,1128,11.366053959416877,-35.640742655813,33.62904719620422
12,17.170600200922053,1128,17.170600200922053,-31.239797417751742,35.50383623282005
13,-40.009326634192135,1128,17.170600200922053,-31.914376588247155,34.079239966888814
14,-39.73387844309333,1128,17.170600200922053,-32.47291243502188,32.80890158034928
15,21.225785721809736,1128,21.225785721809736,-28.892999224566438,34.52206934146847
16,-1.6753463590090742,1128,21.225785721809736,-27.191895920469104,34.03853344953903
17,-37.969976765161874,1128,21.225785721809736,-27.825900676039268,33.061174418714025
18,5.51198856661126,1128,21.225785721809736,-25.97379571811424,33.022567730992925
19,7.732118772433664,1128,21.225785721809736,-24.19980021861172,33.01062470658966
20,-19.614708946014023,1128,21.225785721809736,-23.970545654981837,32.14653627263317
21,-21.394075090046886,1128,21.225785721809736,-23.847856580461126,31.33761173734329
22,-9.627783683852677,1128,21.225785721809736,-23.201489630615285,30.732282759687898
23,5.4503496726858325,1128,21.225785721809736,-21.955757486993498,30.614296017560306
24,-41.96939354698868,1128,21.225785721809736,-22.7896589894933,30.218788340367794
25,-72.54803399576473,1128,21.225785721809736,-24.779993989744156,31.21156898852636
26,29.547301797411556,1128,29.547301797411556,-22.69048261331509,32.38383948475547
27,-20.366704609369314,1128,29.547301797411556,-22.604416761317097,31.7581161283937
28,-37.352356755326696,1128,29.547301797411556,-23.1311289039603,31.288833800238237
29,-21.450004552397953,1128,29.547301797411556,-23.07315909873401,30.72661072162121
30,29.780540582398036,1128,29.780540582398036,-21.31136910936294,31.696777510116608
31,24.12803411459833,1128,29.780540582398036,-19.845581908589995,32.21491388624347
32,-10.06618974515304,1128,29.780540582398036,-19.53997590348259,31.738176955926757
33,-53.36873490359352,1128,29.780540582398036,-20.565089812576858,31.78854686398787
34,-37.684055949515376,1128,29.780540582398036,-21.06858881660446,31.4405713545722
35,-17.479427663576146,1128,29.780540582398036,-20.966041355089367,30.980700070310096
36,-1.199793768160848,1128,29.780540582398036,-20.416978922119128,30.712110246359263
37,-26.432799262709523,1128,29.780540582398036,-20.579568661054005,30.29869452457665
38,-22.75077101570629,1128,29.780540582398036,-20.6367055651238,29.88852355908544
39,22.356520139868035,1128,29.780540582398036,-19.534315162431703,30.285485596576404
40,-49.53045788311182,1128,29.780540582398036,-20.284218730448707,30.268574971260982
41,-66.51719207838018,1128,29.780540582398036,-21.411852226739718,30.7476147758055
42,-28.83824284384019,1128,29.780540582398036,-21.588671050956393,30.39194001303554
43,1.2458514257253972,1128,29.780540582398036,-21.057635644521934,30.229188120096588
44,-28.753926655967874,1128,29.780540582398036,-21.232551349327522,29.898139826236108
45,11.366835087270811,1128,29.780540582398036,-20.508120539625338,29.953278350740273
46,26.22935655250402,1128,29.780540582398036,-18.198786548722687,29.44614201158782
47,32.03935456693843,1128,32.03935456693843,-16.868717751804283,30.340165032556648
48,-13.209364429654997,1128,32.03935456693843,-17.1855702498595,30.22301785242899
49,-34.40165155644775,1128,32.03935456693843,-16.532980352974832,29.50279015863986
50,-48.58778539110786,1128,32.03935456693843,-16.992452363868452,29.843067656810334
51,-44.9602862610018,1128,32.03935456693843,-18.24414881321109,29.80782142910941
52,-57.321428069635175,1128,32.03935456693843,-18.852395156813394,30.32686478777644
53,-1.2949154292597203,1128,32.03935456693843,-17.545273052877214,29.77047314972161
54,8.251281348028199,1128,32.03935456693843,-17.556987487560964,29.75998144320769
55,-35.71851749661243,1128,32.03935456693843,-17.440706951938378,29.676602382761832
56,-34.56966907537213,1128,32.03935456693843,-16.319130673573746,27.968277753314357
57,-52.04849145273331,1128,32.03935456693843,-17.857332710321643,27.987997777166346
58,4.48735541077986,1128,32.03935456693843,-16.86851755376671,27.97361099000637
59,-50.517235902123964,1128,32.03935456693843,-17.108147719522947,28.21904402906985
60,-38.40533005367854,1128,32.03935456693843,-18.43328362564491,27.774618813313896
61,-50.0132958068044,1128,32.03935456693843,-19.507460280040362,28.045191218414335
62,-17.858854927228712,1128,32.03935456693843,-19.060546461419626,27.904181206486566
63,2.729179681091985,1128,32.03935456693843,-19.122386658875612,27.851520713176573
64,-12.745708408471064,1128,32.03935456693843,-19.57744948511794,27.56863168499287
65,-42.77934522263192,1128,32.03935456693843,-20.09221918015389,27.784764487704976
66,-33.498563071768444,1128,32.03935456693843,-20.361207801969925,27.856155397060608
67,-85.86604964573294,1128,32.03935456693843,-22.055391490011708,29.46068011284784
68,2.741167733617346,1128,32.03935456693843,-22.11559553310212,29.405910834397485
69,-22.832721729653287,1128,32.03935456693843,-21.690336159383556,29.25022803848833
70,-28.88130327619442,1128,32.03935456693843,-20.719964365615326,28.23125628721692
71,-33.47235196268062,1128,32.03935456693843,-22.120401115839595,27.226215179161528
