,action,electricity_price,episode,gross_rate,losses,net_stored,new_charge,next_observation,next_state,observation,old_charge,reward,state,steps
15/11/2009 01:05,[ 0.          0.31578947],50.0,450,0.0,0.0,0.0,0.0,[[  50.   50.   50.   50.  100.    0.]],[[ 50.   0.]],[[  50.   50.   50.   50.  100.    0.]],0.0,-0.0,[[ 50.   0.]],1
15/11/2009 01:10,[ 0.          0.31578947],50.0,450,0.0,0.0,0.0,0.0,[[  50.   50.   50.  100.  100.    0.]],[[ 50.   0.]],[[  50.   50.   50.   50.  100.    0.]],0.0,-0.0,[[ 50.   0.]],2
15/11/2009 01:15,[ 0.33780755  0.84063918],50.0,450,0.0,0.0,0.0,0.0,[[  50.   50.  100.  100.  100.    0.]],[[ 50.   0.]],[[  50.   50.   50.  100.  100.    0.]],0.0,-0.0,[[ 50.   0.]],3
15/11/2009 01:20,[ 0.54411929  1.00167222],50.0,450,0.0,0.0,0.0,0.0,[[  50.  100.  100.  100.  100.    0.]],[[ 50.   0.]],[[  50.   50.  100.  100.  100.    0.]],0.0,-0.0,[[ 50.   0.]],4
15/11/2009 01:25,[ 0.21052632  1.78947368],50.0,450,0.0,0.0,0.0,0.0,[[ 100.  100.  100.  100.  100.    0.]],[[ 100.    0.]],[[  50.  100.  100.  100.  100.    0.]],0.0,-0.0,[[ 50.   0.]],5
15/11/2009 01:30,[ 0.          1.26315789],100.0,450,0.0,0.0,0.0,0.0,[[ 100.  100.  100.  100.  -50.    0.]],[[ 100.    0.]],[[ 100.  100.  100.  100.  100.    0.]],0.0,-0.0,[[ 100.    0.]],6
15/11/2009 01:35,[ 2.          0.10526316],100.0,450,1.8947368421052633,0.015789473684210523,0.14210526315789476,0.14210526315789476,"[[ 100.          100.          100.          -50.          -50.
     0.14210526]]",[[ 100.            0.14210526]],[[ 100.  100.  100.  100.  -50.    0.]],0.0,-15.789473684210527,[[ 100.    0.]],7
15/11/2009 01:40,[ 2.          0.42105263],100.0,450,1.5789473684210527,0.013157894736842103,0.11842105263157895,0.2605263157894737,"[[ 100.          100.          -50.          -50.          -50.
     0.26052632]]",[[ 100.            0.26052632]],"[[ 100.          100.          100.          -50.          -50.
     0.14210526]]",0.14210526315789476,-13.157894736842104,[[ 100.            0.14210526]],8
15/11/2009 01:45,[ 2.          0.10526316],100.0,450,1.8947368421052637,0.015789473684210527,0.1421052631578948,0.4026315789473685,"[[ 100.          -50.          -50.          -50.          -50.
     0.40263158]]",[[ 100.            0.40263158]],"[[ 100.          100.          -50.          -50.          -50.
     0.26052632]]",0.2605263157894737,-15.789473684210531,[[ 100.            0.26052632]],9
15/11/2009 01:50,[ 2.          1.57894737],100.0,450,0.42105263157894735,0.00350877192982456,0.03157894736842104,0.43421052631578955,[[-50.         -50.         -50.         -50.          50.           0.43421053]],[[-50.           0.43421053]],"[[ 100.          -50.          -50.          -50.          -50.
     0.40263158]]",0.4026315789473685,-3.508771929824561,[[ 100.            0.40263158]],10
15/11/2009 01:55,[ 1.38895507  0.07943242],-50.0,450,1.3095226491145888,0.010912688742621572,0.09821419868359421,0.5324247249993838,[[-50.         -50.         -50.          50.          50.           0.53242472]],[[-50.           0.53242472]],[[-50.         -50.         -50.         -50.          50.           0.43421053]],0.43421052631578955,5.456344371310787,[[-50.           0.43421053]],11
15/11/2009 02:00,[ 0.73684211  0.31578947],-50.0,450,0.42105263157894735,0.00350877192982456,0.03157894736842104,0.5640036723678048,[[-50.         -50.          50.          50.          50.           0.56400367]],[[-50.           0.56400367]],[[-50.         -50.         -50.          50.          50.           0.53242472]],0.5324247249993838,1.7543859649122806,[[-50.           0.53242472]],12
15/11/2009 02:05,[ 0.42105263  0.52631579],-50.0,450,-0.10526315789473717,0.0,-0.00877192982456143,0.5552317425432434,[[-50.          50.          50.          50.          50.           0.55523174]],[[-50.           0.55523174]],[[-50.         -50.          50.          50.          50.           0.56400367]],0.5640036723678048,-0.43859649122807154,[[-50.           0.56400367]],13
15/11/2009 02:10,[ 0.84210526  1.15789474],-50.0,450,-0.3157894736842102,0.0,-0.02631578947368418,0.5289159530695592,"[[  50.           50.           50.           50.          100.
     0.52891595]]",[[ 50.           0.52891595]],[[-50.          50.          50.          50.          50.           0.55523174]],0.5552317425432434,-1.315789473684209,[[-50.           0.55523174]],14
15/11/2009 02:15,[ 0.42105263  1.15789474],50.0,450,-0.7368421052631582,0.0,-0.06140350877192985,0.46751244429762934,"[[  50.           50.           50.          100.          100.
     0.46751244]]",[[ 50.           0.46751244]],"[[  50.           50.           50.           50.          100.
     0.52891595]]",0.5289159530695592,3.0701754385964923,[[ 50.           0.52891595]],15
15/11/2009 02:20,[ 0.          0.52631579],50.0,450,-0.5263157894736838,0.0,-0.04385964912280699,0.42365279517482235,[[  50.          50.         100.         100.         100.           0.4236528]],[[ 50.          0.4236528]],"[[  50.           50.           50.          100.          100.
     0.46751244]]",0.46751244429762934,2.1929824561403493,[[ 50.           0.46751244]],16
15/11/2009 02:25,[ 0.          0.94736842],50.0,450,-0.9473684210526319,0.0,-0.07894736842105265,0.3447054267537697,"[[  50.          100.          100.          100.          100.
     0.34470543]]",[[ 50.           0.34470543]],[[  50.          50.         100.         100.         100.           0.4236528]],0.42365279517482235,3.9473684210526327,[[ 50.          0.4236528]],17
15/11/2009 02:30,[ 2.          1.89473684],50.0,450,0.10526315789473717,0.000877192982456143,0.007894736842105288,0.352600163595875,"[[ 100.          100.          100.          100.          100.
     0.35260016]]",[[ 100.            0.35260016]],"[[  50.          100.          100.          100.          100.
     0.34470543]]",0.3447054267537697,-0.43859649122807154,[[ 50.           0.34470543]],18
15/11/2009 02:35,[ 0.          0.94736842],100.0,450,-0.9473684210526319,0.0,-0.07894736842105265,0.2736527951748223,[[ 100.         100.         100.         100.         -50.           0.2736528]],[[ 100.           0.2736528]],"[[ 100.          100.          100.          100.          100.
     0.35260016]]",0.352600163595875,7.8947368421052655,[[ 100.            0.35260016]],19
15/11/2009 02:40,[ 0.04874271  1.52633815],100.0,450,-1.4775954490788052,0.0,-0.12313295408990044,0.1505198410849219,"[[ 100.          100.          100.          -50.          -50.
     0.15051984]]",[[ 100.            0.15051984]],[[ 100.         100.         100.         100.         -50.           0.2736528]],0.2736527951748223,12.313295408990044,[[ 100.           0.2736528]],20
15/11/2009 02:45,[ 2.          0.42105263],100.0,450,1.5789473684210522,0.0131578947368421,0.11842105263157893,0.2689408937165008,"[[ 100.          100.          -50.          -50.          -50.
     0.26894089]]",[[ 100.            0.26894089]],"[[ 100.          100.          100.          -50.          -50.
     0.15051984]]",0.1505198410849219,-13.157894736842103,[[ 100.            0.15051984]],21
15/11/2009 02:50,[ 2.          0.10526316],100.0,450,1.894736842105263,0.015789473684210523,0.14210526315789473,0.41104615687439555,"[[ 100.          -50.          -50.          -50.          -50.
     0.41104616]]",[[ 100.            0.41104616]],"[[ 100.          100.          -50.          -50.          -50.
     0.26894089]]",0.2689408937165008,-15.789473684210526,[[ 100.            0.26894089]],22
15/11/2009 02:55,[ 2.          1.57894737],100.0,450,0.42105263157894735,0.00350877192982456,0.03157894736842104,0.4426251042428166,[[-50.        -50.        -50.        -50.         50.          0.4426251]],[[-50.          0.4426251]],"[[ 100.          -50.          -50.          -50.          -50.
     0.41104616]]",0.41104615687439555,-3.508771929824561,[[ 100.            0.41104616]],23
15/11/2009 03:00,[ 0.84210526  1.36842105],-50.0,450,-0.5263157894736838,0.0,-0.04385964912280699,0.3987654551200096,[[-50.         -50.         -50.          50.          50.           0.39876546]],[[-50.           0.39876546]],[[-50.        -50.        -50.        -50.         50.          0.4426251]],0.4426251042428166,-2.1929824561403493,[[-50.          0.4426251]],24
15/11/2009 03:05,[ 0.73684211  0.52631579],-50.0,450,0.21052631578947367,0.00175438596491228,0.01578947368421052,0.4145549288042201,[[-50.         -50.          50.          50.          50.           0.41455493]],[[-50.           0.41455493]],[[-50.         -50.         -50.          50.          50.           0.39876546]],0.3987654551200096,0.8771929824561403,[[-50.           0.39876546]],25
15/11/2009 03:10,[ 0.31578947  0.73684211],-50.0,450,-0.42105263157894735,0.0,-0.03508771929824561,0.3794672095059745,[[-50.          50.          50.          50.          50.           0.37946721]],[[-50.           0.37946721]],[[-50.         -50.          50.          50.          50.           0.41455493]],0.4145549288042201,-1.7543859649122806,[[-50.           0.41455493]],26
15/11/2009 03:15,[ 0.63157895  1.26315789],-50.0,450,-0.631578947368421,0.0,-0.05263157894736842,0.3268356305586061,"[[  50.           50.           50.           50.          100.
     0.32683563]]",[[ 50.           0.32683563]],[[-50.          50.          50.          50.          50.           0.37946721]],0.3794672095059745,-2.631578947368421,[[-50.           0.37946721]],27
15/11/2009 03:20,[ 0.42105263  1.15789474],50.0,450,-0.7368421052631582,0.0,-0.06140350877192985,0.26543212178667625,"[[  50.           50.           50.          100.          100.
     0.26543212]]",[[ 50.           0.26543212]],"[[  50.           50.           50.           50.          100.
     0.32683563]]",0.3268356305586061,3.0701754385964923,[[ 50.           0.32683563]],28
15/11/2009 03:25,[ 0.44373768  0.39596839],50.0,450,0.04776929891045012,0.0003980774909204176,0.0035826974182837645,0.26901481920496,"[[  50.           50.          100.          100.          100.
     0.26901482]]",[[ 50.           0.26901482]],"[[  50.           50.           50.          100.          100.
     0.26543212]]",0.26543212178667625,-0.19903874546020883,[[ 50.           0.26543212]],29
15/11/2009 03:30,[ 0.24702324  0.14282177],50.0,450,0.10420146532170316,0.0008683455443475261,0.007815109899127759,0.27682992910408777,"[[  50.          100.          100.          100.          100.
     0.27682993]]",[[ 50.           0.27682993]],"[[  50.           50.          100.          100.          100.
     0.26901482]]",0.26901481920496,-0.43417277217376316,[[ 50.           0.26901482]],30
15/11/2009 03:35,[ 2.          1.89473684],50.0,450,0.10526315789473717,0.000877192982456143,0.007894736842105288,0.28472466594619306,"[[ 100.          100.          100.          100.          100.
     0.28472467]]",[[ 100.            0.28472467]],"[[  50.          100.          100.          100.          100.
     0.27682993]]",0.27682992910408777,-0.43859649122807154,[[ 50.           0.27682993]],31
15/11/2009 03:40,[ 0.          1.05263158],100.0,450,-1.0526315789473684,0.0,-0.08771929824561403,0.19700536770057903,"[[ 100.          100.          100.          100.          -50.
     0.19700537]]",[[ 100.            0.19700537]],"[[ 100.          100.          100.          100.          100.
     0.28472467]]",0.28472466594619306,8.771929824561402,[[ 100.            0.28472467]],32
15/11/2009 03:45,[ 2.          1.05263158],100.0,450,0.9473684210526319,0.007894736842105263,0.07105263157894737,0.2680579992795264,[[ 100.        100.        100.        -50.        -50.          0.268058]],[[ 100.          0.268058]],"[[ 100.          100.          100.          100.          -50.
     0.19700537]]",0.19700536770057903,-7.8947368421052655,[[ 100.            0.19700537]],33
15/11/2009 03:50,[ 2.          0.21052632],100.0,450,1.7894736842105259,0.014912280701754379,0.13421052631578945,0.40226852559531584,"[[ 100.          100.          -50.          -50.          -50.
     0.40226853]]",[[ 100.            0.40226853]],[[ 100.        100.        100.        -50.        -50.          0.268058]],0.2680579992795264,-14.912280701754382,[[ 100.          0.268058]],34
15/11/2009 03:55,[ 2.          0.10526316],100.0,450,1.894736842105263,0.015789473684210523,0.14210526315789468,0.5443737887532105,"[[ 100.          -50.          -50.          -50.          -50.
     0.54437379]]",[[ 100.            0.54437379]],"[[ 100.          100.          -50.          -50.          -50.
     0.40226853]]",0.40226852559531584,-15.789473684210526,[[ 100.            0.40226853]],35
15/11/2009 04:00,[ 2.          1.36842105],100.0,450,0.6315789473684217,0.0052631578947368455,0.047368421052631615,0.5917422098058421,[[-50.         -50.         -50.         -50.          50.           0.59174221]],[[-50.           0.59174221]],"[[ 100.          -50.          -50.          -50.          -50.
     0.54437379]]",0.5443737887532105,-5.263157894736848,[[ 100.            0.54437379]],36
15/11/2009 04:05,[ 1.05263158  1.26315789],-50.0,450,-0.210526315789473,0.0,-0.01754385964912275,0.5741983501567194,[[-50.         -50.         -50.          50.          50.           0.57419835]],[[-50.           0.57419835]],[[-50.         -50.         -50.         -50.          50.           0.59174221]],0.5917422098058421,-0.8771929824561375,[[-50.           0.59174221]],37
