tempus_interval_time,C_electricity_price [$/MWh],C_demand [MW]
2018-05-25 08:30:00,92.66,3.0212797583987827
2018-05-25 08:35:00,92.66,0.6930862556270397
2018-05-25 08:40:00,92.66,0.0
2018-05-25 08:45:00,92.66,0.0
2018-05-25 08:50:00,92.66,0.0
2018-05-25 08:55:00,92.66,0.0
2018-05-25 09:00:00,91.88,0.871276777419379
2018-05-25 09:05:00,91.88,0.6220145463938453
2018-05-25 09:10:00,91.88,0.0
2018-05-25 09:15:00,91.88,1.2531095503382368
2018-05-25 09:20:00,91.88,0.8680984460677275
2018-05-25 09:25:00,91.88,0.0
2018-05-25 09:30:00,87.14,0.0
2018-05-25 09:35:00,87.14,0.0
2018-05-25 09:40:00,87.14,2.0828869328771598
2018-05-25 09:45:00,87.14,0.0
2018-05-25 09:50:00,87.14,1.2396765491572104
2018-05-25 09:55:00,87.14,0.0
2018-05-25 10:00:00,82.05,2.551463370681382
2018-05-25 10:05:00,82.05,6.680610905807683
2018-05-25 10:10:00,82.05,6.556903776716497
2018-05-25 10:15:00,82.05,0.0
2018-05-25 10:20:00,82.05,5.664274438368547
2018-05-25 10:25:00,82.05,0.0
2018-05-25 10:30:00,84.22,0.0
2018-05-25 10:35:00,84.22,3.109181394671294
2018-05-25 10:40:00,84.22,0.9410465545219642
2018-05-25 10:45:00,84.22,1.7249069001433495
2018-05-25 10:50:00,84.22,0.0
2018-05-25 10:55:00,84.22,0.0
2018-05-25 11:00:00,77.82,0.7201040819308229
2018-05-25 11:05:00,77.82,0.0
2018-05-25 11:10:00,77.82,0.4468527417421911
2018-05-25 11:15:00,77.82,0.10273699586222551
2018-05-25 11:20:00,77.82,0.0
2018-05-25 11:25:00,77.82,0.05202863846297352
2018-05-25 11:30:00,82.89,3.68514914849154
2018-05-25 11:35:00,82.89,1.0093099822561582
2018-05-25 11:40:00,82.89,0.0
2018-05-25 11:45:00,82.89,0.0
2018-05-25 11:50:00,82.89,0.0
2018-05-25 11:55:00,82.89,0.27266551624998425
2018-05-25 12:00:00,84.22,0.1043950674206577
2018-05-25 12:05:00,84.22,0.5775251416716429
2018-05-25 12:10:00,84.22,0.0
2018-05-25 12:15:00,84.22,1.3651638985835544
2018-05-25 12:20:00,84.22,0.0
2018-05-25 12:25:00,84.22,0.23666578414600278
2018-05-25 12:30:00,89.26,0.6018006798813067
2018-05-25 12:35:00,89.26,0.0
2018-05-25 12:40:00,89.26,0.4695883192659034
2018-05-25 12:45:00,89.26,0.0
2018-05-25 12:50:00,89.26,0.0
2018-05-25 12:55:00,89.26,0.0
2018-05-25 13:00:00,86.96,0.0
2018-05-25 13:05:00,86.96,2.1093915527193654
2018-05-25 13:10:00,86.96,0.7592580847592053
2018-05-25 13:15:00,86.96,0.7523915627864775
2018-05-25 13:20:00,86.96,0.029994687401869835
2018-05-25 13:25:00,86.96,0.0
2018-05-25 13:30:00,82.93,0.6258896082289975
2018-05-25 13:35:00,82.93,1.3809875266073566
2018-05-25 13:40:00,82.93,0.0
2018-05-25 13:45:00,82.93,7.648889332838644
2018-05-25 13:50:00,82.93,0.0
2018-05-25 13:55:00,82.93,5.1842252800846484
2018-05-25 14:00:00,89.77,0.0
2018-05-25 14:05:00,89.77,0.0
2018-05-25 14:10:00,89.77,1.1921191371517526
2018-05-25 14:15:00,89.77,5.808963624884013
2018-05-25 14:20:00,89.77,1.307742518416422
2018-05-25 14:25:00,89.77,0.0
2018-05-25 14:30:00,94.17,1.5328632257491435
2018-05-25 14:35:00,94.17,1.6887215666378088
2018-05-25 14:40:00,94.17,1.603119602049933
2018-05-25 14:45:00,94.17,1.1525740721937412
2018-05-25 14:50:00,94.17,0.0
2018-05-25 14:55:00,94.17,0.7025310676015435
2018-05-25 15:00:00,106.57,0.15619392692569434
2018-05-25 15:05:00,106.57,0.4126026446064705
2018-05-25 15:10:00,106.57,0.48154661835286533
2018-05-25 15:15:00,106.57,0.09917051655985593
2018-05-25 15:20:00,106.57,0.0
2018-05-25 15:25:00,106.57,0.014882740160765134
2018-05-25 15:30:00,116.57,1.8746288753493754
2018-05-25 15:35:00,116.57,0.0
2018-05-25 15:40:00,116.57,0.0
2018-05-25 15:45:00,116.57,0.0
2018-05-25 15:50:00,116.57,0.0
2018-05-25 15:55:00,116.57,0.0
2018-05-25 16:00:00,123.45,0.0
2018-05-25 16:05:00,123.45,0.8269019010314442
2018-05-25 16:10:00,123.45,1.4242019512543906
2018-05-25 16:15:00,123.45,0.0
2018-05-25 16:20:00,123.45,1.033254994195309
2018-05-25 16:25:00,123.45,0.0
2018-05-25 16:30:00,162.13,1.322741608351432
2018-05-25 16:35:00,162.13,0.7999660962312785
2018-05-25 16:40:00,162.13,0.13739357920639306
2018-05-25 16:45:00,162.13,0.0
2018-05-25 16:50:00,162.13,0.0
2018-05-25 16:55:00,162.13,0.0
2018-05-25 17:00:00,139.73,0.5343277394982549
2018-05-25 17:05:00,139.73,0.6117438889289512
2018-05-25 17:10:00,139.73,0.253452279634756
2018-05-25 17:15:00,139.73,2.1527196369001285
2018-05-25 17:20:00,139.73,0.0
2018-05-25 17:25:00,139.73,0.0
2018-05-25 17:30:00,154.3,1.7770125694313093
2018-05-25 17:35:00,154.3,0.0
2018-05-25 17:40:00,154.3,8.44527014316135
2018-05-25 17:45:00,154.3,1.5395115288186765
2018-05-25 17:50:00,154.3,0.0
2018-05-25 17:55:00,154.3,0.5916933217289202
2018-05-25 18:00:00,138.69,4.627805208536724
2018-05-25 18:05:00,138.69,0.37121660284783076
2018-05-25 18:10:00,138.69,8.055986270622213
2018-05-25 18:15:00,138.69,3.5979290999641806
2018-05-25 18:20:00,138.69,5.345437799159849
2018-05-25 18:25:00,138.69,1.2241247950803842
2018-05-25 18:30:00,116.57,0.1051132707331176
2018-05-25 18:35:00,116.57,1.201947476222858
2018-05-25 18:40:00,116.57,3.1913313824052874
2018-05-25 18:45:00,116.57,0.0
2018-05-25 18:50:00,116.57,0.28347569596555466
2018-05-25 18:55:00,116.57,0.12133047996194976
2018-05-25 19:00:00,103.46,1.7359717363760987
2018-05-25 19:05:00,103.46,1.288521034328835
2018-05-25 19:10:00,103.46,0.11418073460588576
2018-05-25 19:15:00,103.46,0.13605582939357333
2018-05-25 19:20:00,103.46,0.0005407879654578039
2018-05-25 19:25:00,103.46,0.13688717721231175
2018-05-25 19:30:00,109.17,2.8880052237480762
2018-05-25 19:35:00,109.17,0.6734372753596962
2018-05-25 19:40:00,109.17,0.0
2018-05-25 19:45:00,109.17,0.0
2018-05-25 19:50:00,109.17,0.0
2018-05-25 19:55:00,109.17,0.0
2018-05-25 20:00:00,104.68,0.10811625282387438
2018-05-25 20:05:00,104.68,1.0386192965473293
2018-05-25 20:10:00,104.68,0.8314639023222453
2018-05-25 20:15:00,104.68,0.2943332671248575
2018-05-25 20:20:00,104.68,0.35777939284246246
2018-05-25 20:25:00,104.68,0.2894415291999334
2018-05-25 20:30:00,95.59,0.0
2018-05-25 20:35:00,95.59,0.19898283191270746
2018-05-25 20:40:00,95.59,0.0
2018-05-25 20:45:00,95.59,0.0
2018-05-25 20:50:00,95.59,0.0
2018-05-25 20:55:00,95.59,0.0
2018-05-25 21:00:00,91.25,1.014367729017033
2018-05-25 21:05:00,91.25,1.02595077519973
2018-05-25 21:10:00,91.25,1.2111703274837382
2018-05-25 21:15:00,91.25,0.5439459475269919
2018-05-25 21:20:00,91.25,0.0
2018-05-25 21:25:00,91.25,3.3050612741572563
2018-05-25 21:30:00,84.81,0.0
2018-05-25 21:35:00,84.81,0.15898904669661273
2018-05-25 21:40:00,84.81,0.0
2018-05-25 21:45:00,84.81,4.552668593047772
2018-05-25 21:50:00,84.81,4.6379834839301095
2018-05-25 21:55:00,84.81,3.133140548741408
2018-05-25 22:00:00,125.26,2.251003805896192
2018-05-25 22:05:00,125.26,0.0
2018-05-25 22:10:00,125.26,0.0
2018-05-25 22:15:00,125.26,2.293879758585768
2018-05-25 22:20:00,125.26,0.0
2018-05-25 22:25:00,125.26,0.0
2018-05-25 22:30:00,78.86,0.0
2018-05-25 22:35:00,78.86,0.36858120087602675
2018-05-25 22:40:00,78.86,0.4713381608846681
2018-05-25 22:45:00,78.86,0.0
2018-05-25 22:50:00,78.86,0.0
2018-05-25 22:55:00,78.86,0.4975790235140127
2018-05-25 23:00:00,80.96,1.1916998692398657
2018-05-25 23:05:00,80.96,0.0
2018-05-25 23:10:00,80.96,0.0
2018-05-25 23:15:00,80.96,0.009540512161393344
2018-05-25 23:20:00,80.96,0.0004133899942053729
2018-05-25 23:25:00,80.96,0.0
2018-05-25 23:30:00,83.15,0.0
2018-05-25 23:35:00,83.15,0.0
2018-05-25 23:40:00,83.15,0.0016273008352580217
2018-05-25 23:45:00,83.15,0.1701481984815613
2018-05-25 23:50:00,83.15,0.0
2018-05-25 23:55:00,83.15,0.0
2018-05-26 00:00:00,86.84,0.0
2018-05-26 00:05:00,86.84,0.7686172311319406
2018-05-26 00:10:00,86.84,0.0
2018-05-26 00:15:00,86.84,0.0
2018-05-26 00:20:00,86.84,0.3764778158706167
2018-05-26 00:25:00,86.84,0.7748398240402145
2018-05-26 00:30:00,78.87,0.0
2018-05-26 00:35:00,78.87,1.6450888190995387
2018-05-26 00:40:00,78.87,0.0
2018-05-26 00:45:00,78.87,0.0
2018-05-26 00:50:00,78.87,0.0
2018-05-26 00:55:00,78.87,0.0
2018-05-26 01:00:00,67.97,0.0
2018-05-26 01:05:00,67.97,0.49077765277449137
2018-05-26 01:10:00,67.97,1.1910912086409569
2018-05-26 01:15:00,67.97,0.0
2018-05-26 01:20:00,67.97,0.0
2018-05-26 01:25:00,67.97,1.9028766506581944
2018-05-26 01:30:00,63.31,1.5658399551035214
2018-05-26 01:35:00,63.31,3.4161288459154426
2018-05-26 01:40:00,63.31,0.0
2018-05-26 01:45:00,63.31,1.9895000484520708
2018-05-26 01:50:00,63.31,1.0578689666961743
2018-05-26 01:55:00,63.31,5.912405007911913
2018-05-26 02:00:00,48.15,5.248550515679228
2018-05-26 02:05:00,48.15,0.29628542037396377
2018-05-26 02:10:00,48.15,4.762834350030045
2018-05-26 02:15:00,48.15,0.0
2018-05-26 02:20:00,48.15,3.492377923961544
2018-05-26 02:25:00,48.15,0.2911947016174339
2018-05-26 02:30:00,50.63,0.0
2018-05-26 02:35:00,50.63,1.7229969450928238
2018-05-26 02:40:00,50.63,2.6532904223300995
2018-05-26 02:45:00,50.63,0.0
2018-05-26 02:50:00,50.63,0.0
2018-05-26 02:55:00,50.63,0.0
2018-05-26 03:00:00,42.2,0.7170801192899565
2018-05-26 03:05:00,42.2,0.0
2018-05-26 03:10:00,42.2,0.07328191057190582
2018-05-26 03:15:00,42.2,0.06713588206910953
2018-05-26 03:20:00,42.2,0.0002606859790802253
2018-05-26 03:25:00,42.2,0.0
2018-05-26 03:30:00,44.16,0.0
2018-05-26 03:35:00,44.16,0.0
2018-05-26 03:40:00,44.16,0.0
2018-05-26 03:45:00,44.16,0.0
2018-05-26 03:50:00,44.16,0.6854702132525761
2018-05-26 03:55:00,44.16,0.0
2018-05-26 04:00:00,47.69,0.029491858238389564
2018-05-26 04:05:00,47.69,0.0
2018-05-26 04:10:00,47.69,0.0
2018-05-26 04:15:00,47.69,0.3276515680201536
2018-05-26 04:20:00,47.69,0.5603239941332023
2018-05-26 04:25:00,47.69,0.45444154722328123
2018-05-26 04:30:00,50.5,0.9399012900755594
2018-05-26 04:35:00,50.5,0.0
2018-05-26 04:40:00,50.5,0.4606454273646255
2018-05-26 04:45:00,50.5,0.0
2018-05-26 04:50:00,50.5,0.0
2018-05-26 04:55:00,50.5,0.0
2018-05-26 05:00:00,51.26,0.9875659086972355
2018-05-26 05:05:00,51.26,0.7664582921215621
2018-05-26 05:10:00,51.26,0.0
2018-05-26 05:15:00,51.26,2.0502693725104475
2018-05-26 05:20:00,51.26,0.0
2018-05-26 05:25:00,51.26,0.0
2018-05-26 05:30:00,53.47,0.0
