,BAU_cost,RL_cost,action,electricity_demand,electricity_price,episode,net_stored,new_charge,next_observation,next_state,observation,old_charge,rate,reward,state,steps
0,34.141666666666666,34.141666666666666,-2,10.0,40.97,4,0,0,[ 40.97  10.     6.    19.    22.    55.     1.     0.  ],[ 40.97  10.     6.    19.    22.    55.     1.     0.  ],[ 40.97  10.     6.    19.    22.    45.     1.     0.  ],0,0.0,-34.141666666666666,[ 40.97  10.     6.    19.    22.    45.     1.     0.  ],1
1,34.141666666666666,37.101752580833335,0.963334658094490148272370788617990911006927490234375,10.0,40.97,4,0.0722501,0.0722501,"[ 35.01       10.          6.         19.         23.          0.          1.
   0.0722501]","[ 35.01       10.          6.         19.         23.          0.          1.
   0.0722501]",[ 40.97  10.     6.    19.    22.    55.     1.     0.  ],0,0.867001,-37.101752580833335,[ 40.97  10.     6.    19.    22.    55.     1.     0.  ],2
2,29.175,34.4265,2,10.0,35.01,4,0.150000,0.222250,[ 35.01     10.        6.       19.       23.        5.        1.        0.22225],[ 35.01     10.        6.       19.       23.        5.        1.        0.22225],"[ 35.01       10.          6.         19.         23.          0.          1.
   0.0722501]",0.07225009999999999765751823588288971222937107086181640625,1.8,-34.4265,"[ 35.01       10.          6.         19.         23.          0.          1.
   0.0722501]",3
3,29.175,23.339999999999996,-2,10.0,35.01,4,-0.166667,0.0555830,"[ 35.01      10.         6.        19.        23.        10.         1.
   0.055583]","[ 35.01      10.         6.        19.        23.        10.         1.
   0.055583]",[ 35.01     10.        6.       19.       23.        5.        1.        0.22225],0.222250000000000003108624468950438313186168670654296875,-2.0,-23.339999999999996,[ 35.01     10.        6.       19.       23.        5.        1.        0.22225],4
4,29.175,27.229039170000004,-2,10.0,35.01,4,-0.0555830,4.62297E-19,"[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   1.50000000e+01   1.00000000e+00   4.62297000e-19]","[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   1.50000000e+01   1.00000000e+00   4.62297000e-19]","[ 35.01      10.         6.        19.        23.        10.         1.
   0.055583]",0.055583000000000000462296867453915183432400226593017578125,-0.666996,-27.229039170000004,"[ 35.01      10.         6.        19.        23.        10.         1.
   0.055583]",5
5,29.175,29.175,-2,10.0,35.01,4,-4.62297E-19,-4.00953E-35,"[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.00000000e+01   1.00000000e+00  -4.00953000e-35]","[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.00000000e+01   1.00000000e+00  -4.00953000e-35]","[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   1.50000000e+01   1.00000000e+00   4.62297000e-19]",4.622969999999999599046879379974421995575031866119379390933641360561523470096290111541748046875E-19,-5.54756e-18,-29.175,"[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   1.50000000e+01   1.00000000e+00   4.62297000e-19]",6
6,29.175,29.175,-2,10.0,35.01,4,3.60858E-35,-4.00953E-36,"[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.50000000e+01   1.00000000e+00  -4.00953000e-36]","[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.50000000e+01   1.00000000e+00  -4.00953000e-36]","[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.00000000e+01   1.00000000e+00  -4.00953000e-35]",-4.0095299999999998784638922665098146998026791836166363219858943255999264167345236099609072366600770465083769522607326507568359375E-35,4.3303e-34,-29.175,"[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.00000000e+01   1.00000000e+00  -4.00953000e-35]",7
7,29.175,29.175,-2,10.0,35.01,4,3.60858E-36,-4.00953E-37,"[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.00000000e+01   1.00000000e+00  -4.00953000e-37]","[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.00000000e+01   1.00000000e+00  -4.00953000e-37]","[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.50000000e+01   1.00000000e+00  -4.00953000e-36]",-4.0095299999999998784638922665098146998026791836166363219858943255999264167345236099609072366600770465083769522607326507568359375E-36,4.3303e-35,-29.175,"[  3.50100000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   2.50000000e+01   1.00000000e+00  -4.00953000e-36]",8
8,36.88333333333333,36.88333333333333,-2,10.0,44.26,4,3.60858E-37,-4.00953E-38,"[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.50000000e+01   1.00000000e+00  -4.00953000e-38]","[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.50000000e+01   1.00000000e+00  -4.00953000e-38]","[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.00000000e+01   1.00000000e+00  -4.00953000e-37]",-4.009530000000000212559481028034270467369737577551871173885504338731013661976710130010737360051371880320658647178788669407367706298828125E-37,4.3303e-36,-36.88333333333333,"[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.00000000e+01   1.00000000e+00  -4.00953000e-37]",9
9,36.88333333333333,36.88333333333333,-2,10.0,44.26,4,3.60858E-38,-4.00953E-39,"[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   4.00000000e+01   1.00000000e+00  -4.00953000e-39]","[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   4.00000000e+01   1.00000000e+00  -4.00953000e-39]","[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.50000000e+01   1.00000000e+00  -4.00953000e-38]",-4.0095299999999998993448665641050931852756203332375885002296199514206193695621602674640216193720329736216445581931111519224941730499267578125E-38,4.3303e-37,-36.88333333333333,"[  4.42600000e+01   1.00000000e+01   6.00000000e+00   1.90000000e+01
   2.30000000e+01   3.50000000e+01   1.00000000e+00  -4.00953000e-38]",10
