,electricity_price_[$/MWh],electricity_demand_[MW],month,day,hour,minute,weekday
15/11/2009 09:35,27.03,10,11,15,9,35,6
15/11/2009 09:40,27.03,10,11,15,9,40,6
15/11/2009 09:45,27.03,10,11,15,9,45,6
15/11/2009 09:50,27.03,10,11,15,9,50,6
15/11/2009 09:55,27.03,10,11,15,9,55,6
15/11/2009 10:00,33.21,10,11,15,10,0,6
15/11/2009 10:05,33.21,10,11,15,10,5,6
15/11/2009 10:10,33.21,10,11,15,10,10,6
15/11/2009 10:15,33.21,10,11,15,10,15,6
15/11/2009 10:20,33.21,10,11,15,10,20,6
15/11/2009 10:25,33.21,10,11,15,10,25,6
15/11/2009 10:30,36.99,10,11,15,10,30,6
15/11/2009 10:35,36.99,10,11,15,10,35,6
15/11/2009 10:40,36.99,10,11,15,10,40,6
15/11/2009 10:45,36.99,10,11,15,10,45,6
15/11/2009 10:50,36.99,10,11,15,10,50,6
15/11/2009 10:55,36.99,10,11,15,10,55,6
15/11/2009 11:00,44.93,10,11,15,11,0,6
15/11/2009 11:05,44.93,10,11,15,11,5,6
15/11/2009 11:10,44.93,10,11,15,11,10,6
15/11/2009 11:15,44.93,10,11,15,11,15,6
15/11/2009 11:20,44.93,10,11,15,11,20,6
15/11/2009 11:25,44.93,10,11,15,11,25,6
15/11/2009 11:30,45.77,10,11,15,11,30,6
15/11/2009 11:35,45.77,10,11,15,11,35,6
15/11/2009 11:40,45.77,10,11,15,11,40,6
15/11/2009 11:45,45.77,10,11,15,11,45,6
15/11/2009 11:50,45.77,10,11,15,11,50,6
15/11/2009 11:55,45.77,10,11,15,11,55,6
15/11/2009 12:00,47.28,10,11,15,12,0,6
15/11/2009 12:05,47.28,10,11,15,12,5,6
15/11/2009 12:10,47.28,10,11,15,12,10,6
15/11/2009 12:15,47.28,10,11,15,12,15,6
15/11/2009 12:20,47.28,10,11,15,12,20,6
15/11/2009 12:25,47.28,10,11,15,12,25,6
15/11/2009 12:30,299.36,10,11,15,12,30,6
15/11/2009 12:35,299.36,10,11,15,12,35,6
15/11/2009 12:40,299.36,10,11,15,12,40,6
15/11/2009 12:45,299.36,10,11,15,12,45,6
15/11/2009 12:50,299.36,10,11,15,12,50,6
15/11/2009 12:55,299.36,10,11,15,12,55,6
15/11/2009 13:00,299.17,10,11,15,13,0,6
15/11/2009 13:05,299.17,10,11,15,13,5,6
15/11/2009 13:10,299.17,10,11,15,13,10,6
15/11/2009 13:15,299.17,10,11,15,13,15,6
15/11/2009 13:20,299.17,10,11,15,13,20,6
15/11/2009 13:25,299.17,10,11,15,13,25,6
15/11/2009 13:30,299.18,10,11,15,13,30,6
15/11/2009 13:35,299.18,10,11,15,13,35,6
15/11/2009 13:40,299.18,10,11,15,13,40,6
15/11/2009 13:45,299.18,10,11,15,13,45,6
15/11/2009 13:50,299.18,10,11,15,13,50,6
15/11/2009 13:55,299.18,10,11,15,13,55,6
15/11/2009 14:00,214.63,10,11,15,14,0,6
15/11/2009 14:05,214.63,10,11,15,14,5,6
15/11/2009 14:10,214.63,10,11,15,14,10,6
15/11/2009 14:15,214.63,10,11,15,14,15,6
15/11/2009 14:20,214.63,10,11,15,14,20,6
15/11/2009 14:25,214.63,10,11,15,14,25,6
15/11/2009 14:30,256.82,10,11,15,14,30,6
15/11/2009 14:35,256.82,10,11,15,14,35,6
15/11/2009 14:40,256.82,10,11,15,14,40,6
15/11/2009 14:45,256.82,10,11,15,14,45,6
15/11/2009 14:50,256.82,10,11,15,14,50,6
15/11/2009 14:55,256.82,10,11,15,14,55,6
15/11/2009 15:00,299.32,10,11,15,15,0,6
15/11/2009 15:05,299.32,10,11,15,15,5,6
15/11/2009 15:10,299.32,10,11,15,15,10,6
15/11/2009 15:15,299.32,10,11,15,15,15,6
15/11/2009 15:20,299.32,10,11,15,15,20,6
15/11/2009 15:25,299.32,10,11,15,15,25,6
15/11/2009 15:30,299.77,10,11,15,15,30,6
15/11/2009 15:35,299.77,10,11,15,15,35,6
15/11/2009 15:40,299.77,10,11,15,15,40,6
15/11/2009 15:45,299.77,10,11,15,15,45,6
15/11/2009 15:50,299.77,10,11,15,15,50,6
15/11/2009 15:55,299.77,10,11,15,15,55,6
15/11/2009 16:00,299.77,10,11,15,16,0,6
15/11/2009 16:05,299.77,10,11,15,16,5,6
15/11/2009 16:10,299.77,10,11,15,16,10,6
15/11/2009 16:15,299.77,10,11,15,16,15,6
15/11/2009 16:20,299.77,10,11,15,16,20,6
15/11/2009 16:25,299.77,10,11,15,16,25,6
15/11/2009 16:30,299.77,10,11,15,16,30,6
15/11/2009 16:35,299.77,10,11,15,16,35,6
15/11/2009 16:40,299.77,10,11,15,16,40,6
15/11/2009 16:45,299.77,10,11,15,16,45,6
15/11/2009 16:50,299.77,10,11,15,16,50,6
15/11/2009 16:55,299.77,10,11,15,16,55,6
15/11/2009 17:00,299.77,10,11,15,17,0,6
15/11/2009 17:05,299.77,10,11,15,17,5,6
15/11/2009 17:10,299.77,10,11,15,17,10,6
15/11/2009 17:15,299.77,10,11,15,17,15,6
15/11/2009 17:20,299.77,10,11,15,17,20,6
15/11/2009 17:25,299.77,10,11,15,17,25,6
15/11/2009 17:30,299.55,10,11,15,17,30,6
15/11/2009 17:35,299.55,10,11,15,17,35,6
15/11/2009 17:40,299.55,10,11,15,17,40,6
15/11/2009 17:45,299.55,10,11,15,17,45,6
15/11/2009 17:50,299.55,10,11,15,17,50,6
15/11/2009 17:55,299.55,10,11,15,17,55,6
15/11/2009 18:00,91.77,10,11,15,18,0,6
